date,vaccgroup_zh,ncumul_firstvacc,ncumul_secondvacc
2021-01-15,NA,0,0
2021-01-16,A,3243,0
2021-01-16,B,465,0
2021-01-16,C,627,1
2021-01-16,D,23,0
2021-01-16,E,23,0
2021-01-16,F,1175,0
2021-01-16,G,46,1
2021-01-16,H,0,0
2021-01-16,I,0,0
2021-01-16,K,0,0
2021-01-16,L,0,0
2021-01-16,M,110,0
2021-01-16,N,54,0
2021-01-16,O,0,0
2021-01-16,Q,0,0
2021-01-16,R,0,0
2021-01-16,S,0,0
2021-01-16,T,0,0
2021-01-16,NA,0,0
2021-01-17,A,3243,0
2021-01-17,B,465,0
2021-01-17,C,628,1
2021-01-17,D,23,0
2021-01-17,E,23,0
2021-01-17,F,1175,0
2021-01-17,G,46,1
2021-01-17,H,0,0
2021-01-17,I,0,0
2021-01-17,K,0,0
2021-01-17,L,0,0
2021-01-17,M,110,0
2021-01-17,N,54,0
2021-01-17,O,0,0
2021-01-17,Q,0,0
2021-01-17,R,0,0
2021-01-17,S,0,0
2021-01-17,T,0,0
2021-01-17,NA,0,0
2021-01-18,A,3811,0
2021-01-18,B,545,0
2021-01-18,C,753,1
2021-01-18,D,33,0
2021-01-18,E,26,0
2021-01-18,F,1243,0
2021-01-18,G,200,1
2021-01-18,H,0,0
2021-01-18,I,0,0
2021-01-18,K,0,0
2021-01-18,L,0,0
2021-01-18,M,131,0
2021-01-18,N,65,0
2021-01-18,O,0,0
2021-01-18,Q,0,0
2021-01-18,R,0,0
2021-01-18,S,0,0
2021-01-18,T,0,0
2021-01-18,NA,0,0
2021-01-19,A,4946,0
2021-01-19,B,700,0
2021-01-19,C,1036,1
2021-01-19,D,133,0
2021-01-19,E,74,0
2021-01-19,F,1389,0
2021-01-19,G,769,1
2021-01-19,H,3,0
2021-01-19,I,5,0
2021-01-19,K,0,0
2021-01-19,L,0,0
2021-01-19,M,148,0
2021-01-19,N,75,0
2021-01-19,O,0,0
2021-01-19,Q,0,0
2021-01-19,R,0,0
2021-01-19,S,0,0
2021-01-19,T,0,0
2021-01-19,NA,1,0
2021-01-20,A,7542,0
2021-01-20,B,848,0
2021-01-20,C,1611,1
2021-01-20,D,390,0
2021-01-20,E,194,0
2021-01-20,F,1714,0
2021-01-20,G,1506,1
2021-01-20,H,7,0
2021-01-20,I,7,0
2021-01-20,K,5,0
2021-01-20,L,2,0
2021-01-20,M,187,0
2021-01-20,N,101,0
2021-01-20,O,0,0
2021-01-20,Q,0,0
2021-01-20,R,0,0
2021-01-20,S,0,0
2021-01-20,T,0,0
2021-01-20,NA,1,0
2021-01-21,A,10530,0
2021-01-21,B,973,0
2021-01-21,C,2221,1
2021-01-21,D,666,0
2021-01-21,E,314,0
2021-01-21,F,1789,0
2021-01-21,G,3041,1
2021-01-21,H,15,0
2021-01-21,I,16,0
2021-01-21,K,7,0
2021-01-21,L,2,0
2021-01-21,M,225,0
2021-01-21,N,120,0
2021-01-21,O,0,0
2021-01-21,Q,0,0
2021-01-21,R,0,0
2021-01-21,S,0,0
2021-01-21,T,0,0
2021-01-21,NA,1,0
2021-01-22,A,12966,0
2021-01-22,B,1057,0
2021-01-22,C,2682,1
2021-01-22,D,900,0
2021-01-22,E,406,0
2021-01-22,F,1894,0
2021-01-22,G,4050,1
2021-01-22,H,24,0
2021-01-22,I,21,0
2021-01-22,K,10,0
2021-01-22,L,2,0
2021-01-22,M,278,0
2021-01-22,N,138,0
2021-01-22,O,0,0
2021-01-22,Q,0,0
2021-01-22,R,0,0
2021-01-22,S,0,0
2021-01-22,T,0,0
2021-01-22,NA,3,0
2021-01-23,A,13683,0
2021-01-23,B,1060,0
2021-01-23,C,2809,1
2021-01-23,D,1038,0
2021-01-23,E,457,0
2021-01-23,F,1895,0
2021-01-23,G,4170,1
2021-01-23,H,31,0
2021-01-23,I,26,0
2021-01-23,K,10,0
2021-01-23,L,2,0
2021-01-23,M,278,0
2021-01-23,N,138,0
2021-01-23,O,1,0
2021-01-23,Q,0,0
2021-01-23,R,0,0
2021-01-23,S,0,0
2021-01-23,T,0,0
2021-01-23,NA,3,0
2021-01-24,A,13701,0
2021-01-24,B,1060,0
2021-01-24,C,2812,1
2021-01-24,D,1040,0
2021-01-24,E,457,0
2021-01-24,F,1896,0
2021-01-24,G,4172,1
2021-01-24,H,31,0
2021-01-24,I,26,0
2021-01-24,K,10,0
2021-01-24,L,2,0
2021-01-24,M,278,0
2021-01-24,N,138,0
2021-01-24,O,1,0
2021-01-24,Q,0,0
2021-01-24,R,0,0
2021-01-24,S,0,0
2021-01-24,T,0,0
2021-01-24,NA,3,0
2021-01-25,A,14975,1
2021-01-25,B,1077,0
