date,ageclass,gender,ncumul_firstvacc,ncumul_secondvacc
2021-01-09,50-59,d,0,0
2021-01-09,50-59,f,55,1
2021-01-09,50-59,m,84,0
2021-01-09,60-69,d,0,0
2021-01-09,60-69,f,93,1
2021-01-09,60-69,m,138,0
2021-01-09,70-79,d,0,0
2021-01-09,70-79,f,197,0
2021-01-09,70-79,m,293,0
2021-01-09,80+,d,0,0
2021-01-09,80+,f,453,0
2021-01-09,80+,m,469,0
2021-01-09,NA,d,0,0
2021-01-09,NA,f,0,0
2021-01-09,NA,m,0,0
2021-01-10,0-9,d,0,0
2021-01-10,0-9,f,0,0
2021-01-10,0-9,m,0,0
2021-01-10,10-19,d,0,0
2021-01-10,10-19,f,2,0
2021-01-10,10-19,m,0,0
2021-01-10,20-29,d,0,0
2021-01-10,20-29,f,12,0
2021-01-10,20-29,m,14,0
2021-01-10,30-39,d,0,0
2021-01-10,30-39,f,30,0
2021-01-10,30-39,m,27,0
2021-01-10,40-49,d,0,0
2021-01-10,40-49,f,46,0
2021-01-10,40-49,m,45,0
2021-01-10,50-59,d,0,0
2021-01-10,50-59,f,55,1
2021-01-10,50-59,m,84,0
2021-01-10,60-69,d,0,0
2021-01-10,60-69,f,93,1
2021-01-10,60-69,m,138,0
2021-01-10,70-79,d,0,0
2021-01-10,70-79,f,197,0
2021-01-10,70-79,m,293,0
2021-01-10,80+,d,0,0
2021-01-10,80+,f,453,0
2021-01-10,80+,m,469,0
2021-01-10,NA,d,0,0
2021-01-10,NA,f,0,0
2021-01-10,NA,m,0,0
2021-01-11,0-9,d,0,0
2021-01-11,0-9,f,0,0
2021-01-11,0-9,m,0,0
2021-01-11,10-19,d,0,0
2021-01-11,10-19,f,3,0
2021-01-11,10-19,m,1,0
2021-01-11,20-29,d,0,0
2021-01-11,20-29,f,16,0
2021-01-11,20-29,m,17,0
2021-01-11,30-39,d,0,0
2021-01-11,30-39,f,36,0
2021-01-11,30-39,m,36,0
2021-01-11,40-49,d,0,0
2021-01-11,40-49,f,63,0
2021-01-11,40-49,m,54,0
2021-01-11,50-59,d,0,0
2021-01-11,50-59,f,71,1
2021-01-11,50-59,m,108,0
2021-01-11,60-69,d,0,0
2021-01-11,60-69,f,124,1
2021-01-11,60-69,m,184,0
2021-01-11,70-79,d,0,0
2021-01-11,70-79,f,242,0
2021-01-11,70-79,m,355,0
2021-01-11,80+,d,0,0
2021-01-11,80+,f,591,0
2021-01-11,80+,m,633,0
2021-01-11,NA,d,0,0
2021-01-11,NA,f,0,0
2021-01-11,NA,m,0,0
2021-01-12,0-9,d,0,0
2021-01-12,0-9,f,0,0
2021-01-12,0-9,m,0,0
2021-01-12,10-19,d,0,0
2021-01-12,10-19,f,3,0
2021-01-12,10-19,m,1,0
2021-01-12,20-29,d,0,0
2021-01-12,20-29,f,28,0
2021-01-12,20-29,m,23,0
2021-01-12,30-39,d,0,0
2021-01-12,30-39,f,57,0
2021-01-12,30-39,m,71,0
2021-01-12,40-49,d,0,0
2021-01-12,40-49,f,91,0
2021-01-12,40-49,m,78,0
2021-01-12,50-59,d,0,0
2021-01-12,50-59,f,88,1
2021-01-12,50-59,m,130,0
2021-01-12,60-69,d,0,0
2021-01-12,60-69,f,151,1
2021-01-12,60-69,m,220,0
2021-01-12,70-79,d,0,0
2021-01-12,70-79,f,289,0
2021-01-12,70-79,m,441,0
2021-01-12,80+,d,0,0
2021-01-12,80+,f,723,0
2021-01-12,80+,m,791,0
2021-01-12,NA,d,0,0
2021-01-12,NA,f,0,0
2021-01-12,NA,m,0,0
2021-01-13,0-9,d,0,0
2021-01-13,0-9,f,0,0
2021-01-13,0-9,m,0,0
2021-01-13,10-19,d,0,0
2021-01-13,10-19,f,3,0
2021-01-13,10-19,m,1,0
2021-01-13,20-29,d,0,0
2021-01-13,20-29,f,51,0
2021-01-13,20-29,m,44,0
2021-01-13,30-39,d,0,0
2021-01-13,30-39,f,97,0
2021-01-13,30-39,m,120,0
2021-01-13,40-49,d,0,0
2021-01-13,40-49,f,121,0
2021-01-13,40-49,m,126,0
2021-01-13,50-59,d,0,0
2021-01-13,50-59,f,111,1
2021-01-13,50-59,m,160,0
2021-01-13,60-69,d,0,0
2021-01-13,60-69,f,175,1
2021-01-13,60-69,m,256,0
2021-01-13,70-79,d,0,0
2021-01-13,70-79,f,343,0
2021-01-13,70-79,m,512,0
2021-01-13,80+,d,0,0
2021-01-13,80+,f,852,0
2021-01-13,80+,m,978,0
2021-01-13,NA,d,0,0
2021-01-13,NA,f,0,0
2021-01-13,NA,m,0,0
2021-01-14,0-9,d,0,0
2021-01-14,0-9,f,0,0
2021-01-14,0-9,m,0,0
2021-01-14,10-19,d,0,0
2021-01-14,10-19,f,4,0
2021-01-14,10-19,m,2,0
2021-01-14,20-29,d,0,0
2021-01-14,20-29,f,71,0
2021-01-14,20-29,m,60,0
2021-01-14,30-39,d,0,0
2021-01-14,30-39,f,147,0
2021-01-14,30-39,m,167,0
2021-01-14,40-49,d,0,0
2021-01-14,40-49,f,145,0
2021-01-14,40-49,m,150,0
2021-01-14,50-59,d,0,0
2021-01-14,50-59,f,132,1
2021-01-14,50-59,m,177,0
2021-01-14,60-69,d,0,0
2021-01-14,60-69,f,185,1
2021-01-14,60-69,m,278,0
2021-01-14,70-79,d,0,0
2021-01-14,70-79,f,407,0
2021-01-14,70-79,m,592,0
2021-01-14,80+,d,0,0
2021-01-14,80+,f,995,0
2021-01-14,80+,m,1145,0
2021-01-14,NA,d,0,0
2021-01-14,NA,f,0,0
2021-01-14,NA,m,0,0
2021-01-15,0-9,d,0,0
2021-01-15,0-9,f,0,0
2021-01-15,0-9,m,0,0
2021-01-15,10-19,d,0,0
2021-01-15,10-19,f,4,0
2021-01-15,10-19,m,2,0
2021-01-15,20-29,d,0,0
2021-01-15,20-29,f,98,0
