date,ageclass,gender,ncumul_firstvacc,ncumul_secondvacc
2021-01-30,50-59,d,0,0
2021-01-30,50-59,f,2909,39
2021-01-30,50-59,m,2106,73
2021-01-30,60-69,d,1,0
2021-01-30,60-69,f,2590,70
2021-01-30,60-69,m,2533,107
2021-01-30,70-79,d,5,0
2021-01-30,70-79,f,5453,162
2021-01-30,70-79,m,5547,245
2021-01-30,80+,d,1,0
2021-01-30,80+,f,9950,116
2021-01-30,80+,m,7872,140
2021-01-30,NA,d,0,0
2021-01-30,NA,f,4,0
2021-01-30,NA,m,4,0
2021-01-31,0-9,d,0,0
2021-01-31,0-9,f,1,0
2021-01-31,0-9,m,2,0
2021-01-31,10-19,d,0,0
2021-01-31,10-19,f,113,2
2021-01-31,10-19,m,55,0
2021-01-31,20-29,d,0,0
2021-01-31,20-29,f,1079,11
2021-01-31,20-29,m,550,12
2021-01-31,30-39,d,0,0
2021-01-31,30-39,f,1743,25
2021-01-31,30-39,m,1136,22
2021-01-31,40-49,d,0,0
2021-01-31,40-49,f,2000,29
2021-01-31,40-49,m,1372,40
2021-01-31,50-59,d,0,0
2021-01-31,50-59,f,2912,39
2021-01-31,50-59,m,2109,73
2021-01-31,60-69,d,1,0
2021-01-31,60-69,f,2594,70
2021-01-31,60-69,m,2543,107
2021-01-31,70-79,d,5,0
2021-01-31,70-79,f,5459,162
2021-01-31,70-79,m,5557,245
2021-01-31,80+,d,1,0
2021-01-31,80+,f,9959,116
2021-01-31,80+,m,7881,140
2021-01-31,NA,d,0,0
2021-01-31,NA,f,4,0
2021-01-31,NA,m,4,0
2021-02-01,0-9,d,0,0
2021-02-01,0-9,f,1,0
2021-02-01,0-9,m,2,0
2021-02-01,10-19,d,0,0
2021-02-01,10-19,f,116,3
2021-02-01,10-19,m,56,0
2021-02-01,20-29,d,0,0
2021-02-01,20-29,f,1087,13
2021-02-01,20-29,m,559,16
2021-02-01,30-39,d,0,0
2021-02-01,30-39,f,1792,31
2021-02-01,30-39,m,1165,28
2021-02-01,40-49,d,0,0
2021-02-01,40-49,f,2057,38
2021-02-01,40-49,m,1426,46
2021-02-01,50-59,d,0,0
2021-02-01,50-59,f,2995,47
2021-02-01,50-59,m,2188,89
2021-02-01,60-69,d,1,0
2021-02-01,60-69,f,2707,84
2021-02-01,60-69,m,2649,137
2021-02-01,70-79,d,5,0
2021-02-01,70-79,f,5755,185
2021-02-01,70-79,m,5832,284
2021-02-01,80+,d,1,0
2021-02-01,80+,f,10419,160
2021-02-01,80+,m,8239,181
2021-02-01,NA,d,0,0
2021-02-01,NA,f,4,0
2021-02-01,NA,m,4,0
2021-02-02,0-9,d,0,0
2021-02-02,0-9,f,1,0
2021-02-02,0-9,m,2,0
2021-02-02,10-19,d,0,0
2021-02-02,10-19,f,119,3
2021-02-02,10-19,m,57,0
2021-02-02,20-29,d,0,0
2021-02-02,20-29,f,1099,15
2021-02-02,20-29,m,578,18
2021-02-02,30-39,d,0,0
2021-02-02,30-39,f,1824,31
2021-02-02,30-39,m,1192,33
2021-02-02,40-49,d,0,0
2021-02-02,40-49,f,2107,50
2021-02-02,40-49,m,1479,52
2021-02-02,50-59,d,0,0
2021-02-02,50-59,f,3082,52
2021-02-02,50-59,m,2272,97
2021-02-02,60-69,d,1,0
2021-02-02,60-69,f,2815,102
2021-02-02,60-69,m,2801,170
2021-02-02,70-79,d,5,0
2021-02-02,70-79,f,6110,222
2021-02-02,70-79,m,6117,347
2021-02-02,80+,d,2,0
2021-02-02,80+,f,10873,207
2021-02-02,80+,m,8627,253
2021-02-02,NA,d,0,0
2021-02-02,NA,f,4,0
2021-02-02,NA,m,4,0
2021-02-03,0-9,d,0,0
2021-02-03,0-9,f,1,0
2021-02-03,0-9,m,2,0
2021-02-03,10-19,d,0,0
2021-02-03,10-19,f,122,3
2021-02-03,10-19,m,57,1
2021-02-03,20-29,d,0,0
2021-02-03,20-29,f,1106,17
2021-02-03,20-29,m,582,21
2021-02-03,30-39,d,0,0
2021-02-03,30-39,f,1846,35
2021-02-03,30-39,m,1204,37
2021-02-03,40-49,d,0,0
2021-02-03,40-49,f,2143,68
2021-02-03,40-49,m,1509,61
2021-02-03,50-59,d,1,0
2021-02-03,50-59,f,3148,66
2021-02-03,50-59,m,2333,107
2021-02-03,60-69,d,1,0
2021-02-03,60-69,f,2943,122
2021-02-03,60-69,m,2911,194
2021-02-03,70-79,d,6,0
2021-02-03,70-79,f,6492,275
2021-02-03,70-79,m,6445,409
2021-02-03,80+,d,2,0
2021-02-03,80+,f,11359,298
2021-02-03,80+,m,8976,353
2021-02-03,NA,d,0,0
2021-02-03,NA,f,5,0
2021-02-03,NA,m,4,0
2021-02-04,0-9,d,0,0
2021-02-04,0-9,f,1,0
2021-02-04,0-9,m,2,0
2021-02-04,10-19,d,0,0
2021-02-04,10-19,f,128,3
2021-02-04,10-19,m,60,1
2021-02-04,20-29,d,0,0
2021-02-04,20-29,f,1152,17
2021-02-04,20-29,m,614,22
2021-02-04,30-39,d,0,0
2021-02-04,30-39,f,1906,38
2021-02-04,30-39,m,1249,39
2021-02-04,40-49,d,0,0
2021-02-04,40-49,f,2214,70
2021-02-04,40-49,m,1570,66
2021-02-04,50-59,d,1,0
2021-02-04,50-59,f,3267,69
2021-02-04,50-59,m,2426,114
2021-02-04,60-69,d,1,0
2021-02-04,60-69,f,3070,125
2021-02-04,60-69,m,3027,203
2021-02-04,70-79,d,6,0
2021-02-04,70-79,f,6795,319
2021-02-04,70-79,m,6709,464
2021-02-04,80+,d,2,0
2021-02-04,80+,f,11750,394
2021-02-04,80+,m,9234,458
2021-02-04,NA,d,0,0
2021-02-04,NA,f,6,0
2021-02-04,NA,m,4,0
2021-02-05,0-9,d,0,0
2021-02-05,0-9,f,1,0
2021-02-05,0-9,m,2,0
2021-02-05,10-19,d,0,0
2021-02-05,10-19,f,135,3
2021-02-05,10-19,m,62,1
2021-02-05,20-29,d,0,0
2021-02-05,20-29,f,1196,18
2021-02-05,20-29,m,637,22
2021-02-05,30-39,d,0,0
2021-02-05,30-39,f,1948,48
2021-02-05,30-39,m,1284,45
2021-02-05,40-49,d,0,0
2021-02-05,40-49,f,2302,75
2021-02-05,40-49,m,1630,71
2021-02-05,50-59,d,1,0
2021-02-05,50-59,f,3412,72
2021-02-05,50-59,m,2554,117
2021-02-05,60-69,d,1,0
2021-02-05,60-69,f,3222,132
2021-02-05,60-69,m,3183,216
2021-02-05,70-79,d,6,0
2021-02-05,70-79,f,7113,363
2021-02-05,70-79,m,7003,514
2021-02-05,80+,d,2,0
2021-02-05,80+,f,12196,485
2021-02-05,80+,m,9537,560
2021-02-05,NA,d,0,0
2021-02-05,NA,f,7,0
2021-02-05,NA,m,4,0
2021-02-06,0-9,d,0,0
2021-02-06,0-9,f,1,0
2021-02-06,0-9,m,2,0
2021-02-06,10-19,d,0,0
2021-02-06,10-19,f,137,3
2021-02-06,10-19,m,63,1
2021-02-06,20-29,d,0,0
2021-02-06,20-29,f,1203,18
2021-02-06,20-29,m,643,22
2021-02-06,30-39,d,0,0
2021-02-06,30-39,f,1961,48
2021-02-06,30-39,m,1297,45
2021-02-06,40-49,d,0,0
2021-02-06,40-49,f,2319,75
2021-02-06,40-49,m,1642,71
2021-02-06,50-59,d,1,0
2021-02-06,50-59,f,3447,72
2021-02-06,50-59,m,2578,117
2021-02-06,60-69,d,1,0
2021-02-06,60-69,f,3271,132
2021-02-06,60-69,m,3222,216
2021-02-06,70-79,d,6,0
2021-02-06,70-79,f,7175,363
2021-02-06,70-79,m,7061,514
2021-02-06,80+,d,2,0
2021-02-06,80+,f,12280,485
2021-02-06,80+,m,9572,560
2021-02-06,NA,d,0,0
2021-02-06,NA,f,7,0
2021-02-06,NA,m,4,0
2021-02-07,0-9,d,0,0
2021-02-07,0-9,f,1,0
2021-02-07,0-9,m,2,0
2021-02-07,10-19,d,0,0
2021-02-07,10-19,f,138,3
2021-02-07,10-19,m,64,1
2021-02-07,20-29,d,0,0
2021-02-07,20-29,f,1214,18
2021-02-07,20-29,m,650,22
2021-02-07,30-39,d,0,0
2021-02-07,30-39,f,1969,48
2021-02-07,30-39,m,1305,45
2021-02-07,40-49,d,0,0
2021-02-07,40-49,f,2341,75
2021-02-07,40-49,m,1653,71
2021-02-07,50-59,d,1,0
2021-02-07,50-59,f,3457,72
2021-02-07,50-59,m,2589,117
2021-02-07,60-69,d,1,0
2021-02-07,60-69,f,3276,132
2021-02-07,60-69,m,3230,216
2021-02-07,70-79,d,6,0
2021-02-07,70-79,f,7178,363
2021-02-07,70-79,m,7063,514
2021-02-07,80+,d,2,0
2021-02-07,80+,f,12283,485
2021-02-07,80+,m,9574,560
2021-02-07,NA,d,0,0
2021-02-07,NA,f,7,0
2021-02-07,NA,m,4,0
2021-02-08,0-9,d,0,0
2021-02-08,0-9,f,1,0
2021-02-08,0-9,m,2,0
2021-02-08,10-19,d,0,0
2021-02-08,10-19,f,138,3
2021-02-08,10-19,m,65,1
2021-02-08,20-29,d,0,0
2021-02-08,20-29,f,1227,25
2021-02-08,20-29,m,656,26
2021-02-08,30-39,d,0,0
2021-02-08,30-39,f,1984,67
2021-02-08,30-39,m,1315,60
2021-02-08,40-49,d,0,0
2021-02-08,40-49,f,2361,97
2021-02-08,40-49,m,1663,93
2021-02-08,50-59,d,1,0
2021-02-08,50-59,f,3484,88
2021-02-08,50-59,m,2626,144
2021-02-08,60-69,d,1,0
2021-02-08,60-69,f,3329,152
2021-02-08,60-69,m,3284,242
2021-02-08,70-79,d,6,0
2021-02-08,70-79,f,7330,408
2021-02-08,70-79,m,7199,579
2021-02-08,80+,d,2,0
2021-02-08,80+,f,12480,608
2021-02-08,80+,m,9721,714
2021-02-08,NA,d,0,0
2021-02-08,NA,f,7,0
2021-02-08,NA,m,4,0
2021-02-09,0-9,d,0,0
2021-02-09,0-9,f,2,0
2021-02-09,0-9,m,2,0
2021-02-09,10-19,d,0,0
2021-02-09,10-19,f,158,3
2021-02-09,10-19,m,71,2
2021-02-09,20-29,d,1,0
2021-02-09,20-29,f,1297,88
2021-02-09,20-29,m,723,67
2021-02-09,30-39,d,0,0
2021-02-09,30-39,f,2098,193
2021-02-09,30-39,m,1402,145
2021-02-09,40-49,d,0,0
2021-02-09,40-49,f,2509,212
2021-02-09,40-49,m,1748,154
2021-02-09,50-59,d,1,0
2021-02-09,50-59,f,3718,184
2021-02-09,50-59,m,2793,213
2021-02-09,60-69,d,1,0
2021-02-09,60-69,f,3492,218
2021-02-09,60-69,m,3441,318
2021-02-09,70-79,d,6,0
2021-02-09,70-79,f,7591,481
2021-02-09,70-79,m,7443,681
2021-02-09,80+,d,3,0
2021-02-09,80+,f,13101,766
2021-02-09,80+,m,10085,902
2021-02-09,NA,d,0,0
2021-02-09,NA,f,8,1
2021-02-09,NA,m,5,0
2021-02-10,0-9,d,0,0
2021-02-10,0-9,f,2,0
2021-02-10,0-9,m,2,0
2021-02-10,10-19,d,0,0
2021-02-10,10-19,f,190,5
2021-02-10,10-19,m,94,2
2021-02-10,20-29,d,1,0
2021-02-10,20-29,f,1474,162
2021-02-10,20-29,m,841,112
2021-02-10,30-39,d,0,0
2021-02-10,30-39,f,2382,316
2021-02-10,30-39,m,1606,246
2021-02-10,40-49,d,0,0
2021-02-10,40-49,f,2877,316
2021-02-10,40-49,m,1984,251
2021-02-10,50-59,d,1,0
2021-02-10,50-59,f,4283,290
2021-02-10,50-59,m,3131,308
2021-02-10,60-69,d,1,0
2021-02-10,60-69,f,3882,292
2021-02-10,60-69,m,3700,394
2021-02-10,70-79,d,6,0
2021-02-10,70-79,f,7983,562
2021-02-10,70-79,m,7741,792
2021-02-10,80+,d,3,0
2021-02-10,80+,f,14208,932
2021-02-10,80+,m,10638,1078
2021-02-10,NA,d,0,0
2021-02-10,NA,f,10,1
2021-02-10,NA,m,5,0
2021-02-11,0-9,d,0,0
2021-02-11,0-9,f,12,1
2021-02-11,0-9,m,2,1
2021-02-11,10-19,d,0,0
2021-02-11,10-19,f,208,7
2021-02-11,10-19,m,108,4
2021-02-11,20-29,d,1,0
2021-02-11,20-29,f,1597,270
2021-02-11,20-29,m,923,163
2021-02-11,30-39,d,1,0
2021-02-11,30-39,f,2582,521
2021-02-11,30-39,m,1718,377
2021-02-11,40-49,d,0,0
2021-02-11,40-49,f,3170,474
2021-02-11,40-49,m,2129,364
2021-02-11,50-59,d,1,0
2021-02-11,50-59,f,4839,438
2021-02-11,50-59,m,3383,424
2021-02-11,60-69,d,1,0
2021-02-11,60-69,f,4311,384
2021-02-11,60-69,m,3901,473
2021-02-11,70-79,d,6,0
2021-02-11,70-79,f,8449,650
2021-02-11,70-79,m,8105,914
2021-02-11,80+,d,3,0
2021-02-11,80+,f,15535,1101
2021-02-11,80+,m,11213,1259
2021-02-11,NA,d,0,0
2021-02-11,NA,f,12,1
2021-02-11,NA,m,5,0
2021-02-12,0-9,d,0,0
2021-02-12,0-9,f,12,1
2021-02-12,0-9,m,2,1
2021-02-12,10-19,d,0,0
2021-02-12,10-19,f,217,11
2021-02-12,10-19,m,116,5
2021-02-12,20-29,d,1,0
2021-02-12,20-29,f,1723,344
2021-02-12,20-29,m,1021,199
2021-02-12,30-39,d,1,0
2021-02-12,30-39,f,2753,659
2021-02-12,30-39,m,1855,480
2021-02-12,40-49,d,0,0
2021-02-12,40-49,f,3431,587
2021-02-12,40-49,m,2297,452
2021-02-12,50-59,d,1,0
2021-02-12,50-59,f,5238,577
2021-02-12,50-59,m,3615,513
2021-02-12,60-69,d,1,0
2021-02-12,60-69,f,4601,444
2021-02-12,60-69,m,4154,530
2021-02-12,70-79,d,8,0
2021-02-12,70-79,f,8796,743
2021-02-12,70-79,m,8415,1006
2021-02-12,80+,d,7,0
2021-02-12,80+,f,16764,1280
2021-02-12,80+,m,11742,1461
2021-02-12,NA,d,0,0
2021-02-12,NA,f,13,1
2021-02-12,NA,m,6,0
2021-02-13,0-9,d,0,0
2021-02-13,0-9,f,12,1
2021-02-13,0-9,m,2,1
2021-02-13,10-19,d,0,0
2021-02-13,10-19,f,220,11
2021-02-13,10-19,m,120,5
2021-02-13,20-29,d,1,0
2021-02-13,20-29,f,1751,390
2021-02-13,20-29,m,1038,222
2021-02-13,30-39,d,1,0
2021-02-13,30-39,f,2799,747
2021-02-13,30-39,m,1883,526
2021-02-13,40-49,d,0,0
2021-02-13,40-49,f,3509,629
2021-02-13,40-49,m,2333,476
2021-02-13,50-59,d,1,0
2021-02-13,50-59,f,5364,610
2021-02-13,50-59,m,3697,540
2021-02-13,60-69,d,1,0
2021-02-13,60-69,f,4693,461
2021-02-13,60-69,m,4214,540
2021-02-13,70-79,d,8,0
2021-02-13,70-79,f,8890,744
2021-02-13,70-79,m,8490,1008
2021-02-13,80+,d,7,0
2021-02-13,80+,f,17223,1281
2021-02-13,80+,m,11929,1461
2021-02-13,NA,d,0,0
2021-02-13,NA,f,15,1
2021-02-13,NA,m,7,0
2021-02-14,0-9,d,0,0
2021-02-14,0-9,f,12,1
2021-02-14,0-9,m,2,1
2021-02-14,10-19,d,0,0
2021-02-14,10-19,f,220,11
2021-02-14,10-19,m,120,5
2021-02-14,20-29,d,1,0
2021-02-14,20-29,f,1751,390
2021-02-14,20-29,m,1038,222
2021-02-14,30-39,d,1,0
2021-02-14,30-39,f,2799,747
2021-02-14,30-39,m,1883,526
2021-02-14,40-49,d,0,0
2021-02-14,40-49,f,3509,629
2021-02-14,40-49,m,2333,476
2021-02-14,50-59,d,1,0
2021-02-14,50-59,f,5364,610
2021-02-14,50-59,m,3699,540
2021-02-14,60-69,d,1,0
2021-02-14,60-69,f,4693,461
2021-02-14,60-69,m,4214,541
2021-02-14,70-79,d,8,0
2021-02-14,70-79,f,8890,744
2021-02-14,70-79,m,8490,1008
2021-02-14,80+,d,7,0
2021-02-14,80+,f,17224,1281
2021-02-14,80+,m,11930,1461
2021-02-14,NA,d,0,0
2021-02-14,NA,f,15,1
2021-02-14,NA,m,7,0
2021-02-15,0-9,d,0,0
2021-02-15,0-9,f,13,1
2021-02-15,0-9,m,2,1
2021-02-15,10-19,d,0,0
2021-02-15,10-19,f,220,11
2021-02-15,10-19,m,120,5
2021-02-15,20-29,d,1,0
2021-02-15,20-29,f,1771,401
2021-02-15,20-29,m,1045,228
2021-02-15,30-39,d,1,0
2021-02-15,30-39,f,2832,763
2021-02-15,30-39,m,1896,540
2021-02-15,40-49,d,0,0
2021-02-15,40-49,f,3536,647
2021-02-15,40-49,m,2349,494
2021-02-15,50-59,d,1,0
2021-02-15,50-59,f,5436,626
2021-02-15,50-59,m,3741,566
2021-02-15,60-69,d,1,0
2021-02-15,60-69,f,4753,483
2021-02-15,60-69,m,4269,581
2021-02-15,70-79,d,8,0
2021-02-15,70-79,f,9005,847
2021-02-15,70-79,m,8591,1159
2021-02-15,80+,d,7,0
2021-02-15,80+,f,17516,1478
2021-02-15,80+,m,12083,1708
2021-02-15,NA,d,0,0
2021-02-15,NA,f,15,1
2021-02-15,NA,m,7,0
2021-02-16,0-9,d,0,0
2021-02-16,0-9,f,13,1
2021-02-16,0-9,m,3,1
2021-02-16,10-19,d,0,0
2021-02-16,10-19,f,225,11
2021-02-16,10-19,m,134,5
2021-02-16,20-29,d,1,0
2021-02-16,20-29,f,1833,406
2021-02-16,20-29,m,1104,234
2021-02-16,30-39,d,1,0
2021-02-16,30-39,f,2910,783
2021-02-16,30-39,m,1991,555
2021-02-16,40-49,d,0,0
2021-02-16,40-49,f,3659,671
2021-02-16,40-49,m,2468,511
2021-02-16,50-59,d,1,0
2021-02-16,50-59,f,5690,652
2021-02-16,50-59,m,3946,601
2021-02-16,60-69,d,1,0
2021-02-16,60-69,f,4900,541
2021-02-16,60-69,m,4393,650
2021-02-16,70-79,d,8,0
2021-02-16,70-79,f,9128,1014
2021-02-16,70-79,m,8696,1324
2021-02-16,80+,d,7,0
2021-02-16,80+,f,17784,1773
2021-02-16,80+,m,12227,2030
2021-02-16,NA,d,0,0
2021-02-16,NA,f,15,1
2021-02-16,NA,m,7,0
2021-02-17,0-9,d,0,0
2021-02-17,0-9,f,13,1
2021-02-17,0-9,m,3,1
2021-02-17,10-19,d,0,0
2021-02-17,10-19,f,229,12
2021-02-17,10-19,m,134,9
2021-02-17,20-29,d,1,0
2021-02-17,20-29,f,1852,453
2021-02-17,20-29,m,1111,250
2021-02-17,30-39,d,1,0
2021-02-17,30-39,f,2948,844
2021-02-17,30-39,m,2010,607
2021-02-17,40-49,d,0,0
2021-02-17,40-49,f,3715,738
2021-02-17,40-49,m,2501,563
2021-02-17,50-59,d,1,0
2021-02-17,50-59,f,5785,734
2021-02-17,50-59,m,4004,699
2021-02-17,60-69,d,1,0
2021-02-17,60-69,f,4989,704
2021-02-17,60-69,m,4462,825
2021-02-17,70-79,d,8,0
2021-02-17,70-79,f,9258,1409
2021-02-17,70-79,m,8795,1719
2021-02-17,80+,d,7,0
2021-02-17,80+,f,18087,2410
2021-02-17,80+,m,12380,2604
2021-02-17,NA,d,0,0
2021-02-17,NA,f,15,1
2021-02-17,NA,m,7,0
2021-02-18,0-9,d,0,0
2021-02-18,0-9,f,13,1
2021-02-18,0-9,m,3,1
2021-02-18,10-19,d,0,0
2021-02-18,10-19,f,234,15
2021-02-18,10-19,m,137,11
2021-02-18,20-29,d,1,0
2021-02-18,20-29,f,1871,470
2021-02-18,20-29,m,1123,257
2021-02-18,30-39,d,1,0
2021-02-18,30-39,f,2974,887
2021-02-18,30-39,m,2022,629
2021-02-18,40-49,d,0,0
2021-02-18,40-49,f,3774,792
2021-02-18,40-49,m,2524,598
2021-02-18,50-59,d,1,0
2021-02-18,50-59,f,5869,846
2021-02-18,50-59,m,4048,782
2021-02-18,60-69,d,2,0
2021-02-18,60-69,f,5058,857
2021-02-18,60-69,m,4526,982
2021-02-18,70-79,d,8,0
2021-02-18,70-79,f,9376,1898
2021-02-18,70-79,m,8888,2197
2021-02-18,80+,d,7,0
2021-02-18,80+,f,18275,3202
2021-02-18,80+,m,12476,3259
2021-02-18,NA,d,0,0
2021-02-18,NA,f,15,1
2021-02-18,NA,m,7,0
2021-02-19,0-9,d,0,0
2021-02-19,0-9,f,13,1
2021-02-19,0-9,m,3,1
2021-02-19,10-19,d,0,0
2021-02-19,10-19,f,235,17
2021-02-19,10-19,m,137,12
2021-02-19,20-29,d,1,0
2021-02-19,20-29,f,1887,485
2021-02-19,20-29,m,1133,267
2021-02-19,30-39,d,1,0
2021-02-19,30-39,f,2991,934
2021-02-19,30-39,m,2030,647
2021-02-19,40-49,d,0,0
2021-02-19,40-49,f,3790,837
2021-02-19,40-49,m,2536,636
2021-02-19,50-59,d,1,0
2021-02-19,50-59,f,5895,921
2021-02-19,50-59,m,4074,861
2021-02-19,60-69,d,2,0
2021-02-19,60-69,f,5093,951
2021-02-19,60-69,m,4553,1136
2021-02-19,70-79,d,8,0
2021-02-19,70-79,f,9444,2382
2021-02-19,70-79,m,8956,2713
2021-02-19,80+,d,7,0
2021-02-19,80+,f,18351,3842
2021-02-19,80+,m,12532,3863
2021-02-19,NA,d,0,0
2021-02-19,NA,f,15,1
2021-02-19,NA,m,7,0
2021-02-20,0-9,d,0,0
2021-02-20,0-9,f,13,1
2021-02-20,0-9,m,3,1
2021-02-20,10-19,d,0,0
2021-02-20,10-19,f,236,19
2021-02-20,10-19,m,137,13
2021-02-20,20-29,d,1,0
2021-02-20,20-29,f,1888,490
2021-02-20,20-29,m,1134,267
2021-02-20,30-39,d,1,0
2021-02-20,30-39,f,2991,945
2021-02-20,30-39,m,2030,651
2021-02-20,40-49,d,0,0
2021-02-20,40-49,f,3792,856
2021-02-20,40-49,m,2538,657
2021-02-20,50-59,d,1,0
2021-02-20,50-59,f,5898,964
2021-02-20,50-59,m,4079,898
2021-02-20,60-69,d,2,0
2021-02-20,60-69,f,5097,1002
2021-02-20,60-69,m,4558,1195
2021-02-20,70-79,d,8,0
2021-02-20,70-79,f,9450,2582
2021-02-20,70-79,m,8970,2862
2021-02-20,80+,d,7,0
2021-02-20,80+,f,18356,4104
2021-02-20,80+,m,12535,4070
2021-02-20,NA,d,0,0
2021-02-20,NA,f,15,1
2021-02-20,NA,m,7,0
2021-02-21,0-9,d,0,0
2021-02-21,0-9,f,13,1
2021-02-21,0-9,m,3,1
2021-02-21,10-19,d,0,0
2021-02-21,10-19,f,236,19
2021-02-21,10-19,m,137,13
2021-02-21,20-29,d,1,0
2021-02-21,20-29,f,1888,490
2021-02-21,20-29,m,1134,267
2021-02-21,30-39,d,1,0
2021-02-21,30-39,f,2991,945
2021-02-21,30-39,m,2030,651
2021-02-21,40-49,d,0,0
2021-02-21,40-49,f,3793,856
2021-02-21,40-49,m,2539,657
2021-02-21,50-59,d,1,0
2021-02-21,50-59,f,5898,964
2021-02-21,50-59,m,4080,898
2021-02-21,60-69,d,2,0
2021-02-21,60-69,f,5097,1003
2021-02-21,60-69,m,4558,1197
2021-02-21,70-79,d,8,0
2021-02-21,70-79,f,9450,2583
2021-02-21,70-79,m,8970,2867
2021-02-21,80+,d,7,0
2021-02-21,80+,f,18357,4111
2021-02-21,80+,m,12536,4074
2021-02-21,NA,d,0,0
2021-02-21,NA,f,15,1
2021-02-21,NA,m,7,0
2021-02-22,0-9,d,0,0
2021-02-22,0-9,f,13,1
2021-02-22,0-9,m,3,1
2021-02-22,10-19,d,0,0
2021-02-22,10-19,f,236,19
2021-02-22,10-19,m,138,13
2021-02-22,20-29,d,1,0
2021-02-22,20-29,f,1889,494
2021-02-22,20-29,m,1137,269
2021-02-22,30-39,d,1,0
2021-02-22,30-39,f,2994,952
2021-02-22,30-39,m,2033,667
2021-02-22,40-49,d,0,0
2021-02-22,40-49,f,3800,878
2021-02-22,40-49,m,2545,668
2021-02-22,50-59,d,1,0
2021-02-22,50-59,f,5911,1010
2021-02-22,50-59,m,4091,948
2021-02-22,60-69,d,2,0
2021-02-22,60-69,f,5105,1065
2021-02-22,60-69,m,4577,1274
2021-02-22,70-79,d,8,0
2021-02-22,70-79,f,9488,2828
2021-02-22,70-79,m,9029,3100
2021-02-22,80+,d,7,0
2021-02-22,80+,f,18435,4452
2021-02-22,80+,m,12617,4440
2021-02-22,NA,d,0,0
2021-02-22,NA,f,15,1
2021-02-22,NA,m,7,0
2021-02-23,0-9,d,0,0
2021-02-23,0-9,f,13,1
2021-02-23,0-9,m,3,1
2021-02-23,10-19,d,0,0
2021-02-23,10-19,f,236,21
2021-02-23,10-19,m,139,13
2021-02-23,20-29,d,1,0
2021-02-23,20-29,f,1897,502
2021-02-23,20-29,m,1139,270
2021-02-23,30-39,d,1,0
2021-02-23,30-39,f,3003,962
2021-02-23,30-39,m,2038,675
2021-02-23,40-49,d,0,0
2021-02-23,40-49,f,3817,911
2021-02-23,40-49,m,2556,699
2021-02-23,50-59,d,1,0
2021-02-23,50-59,f,5935,1062
2021-02-23,50-59,m,4109,1021
2021-02-23,60-69,d,2,1
2021-02-23,60-69,f,5131,1167
2021-02-23,60-69,m,4609,1406
2021-02-23,70-79,d,8,0
2021-02-23,70-79,f,9535,3198
2021-02-23,70-79,m,9081,3464
2021-02-23,80+,d,7,0
2021-02-23,80+,f,18548,5060
2021-02-23,80+,m,12719,5001
2021-02-23,NA,d,0,0
2021-02-23,NA,f,16,1
2021-02-23,NA,m,7,0
2021-02-24,0-9,d,0,0
2021-02-24,0-9,f,13,1
2021-02-24,0-9,m,3,1
2021-02-24,10-19,d,0,0
2021-02-24,10-19,f,237,26
2021-02-24,10-19,m,139,15
2021-02-24,20-29,d,1,0
2021-02-24,20-29,f,1910,537
2021-02-24,20-29,m,1141,274
2021-02-24,30-39,d,1,0
2021-02-24,30-39,f,3017,1006
2021-02-24,30-39,m,2040,695
2021-02-24,40-49,d,0,0
2021-02-24,40-49,f,3830,1000
2021-02-24,40-49,m,2569,736
2021-02-24,50-59,d,1,0
2021-02-24,50-59,f,5964,1227
2021-02-24,50-59,m,4128,1110
2021-02-24,60-69,d,2,1
2021-02-24,60-69,f,5163,1339
2021-02-24,60-69,m,4638,1573
2021-02-24,70-79,d,8,1
2021-02-24,70-79,f,9602,3691
2021-02-24,70-79,m,9143,3899
2021-02-24,80+,d,7,0
2021-02-24,80+,f,18676,5981
2021-02-24,80+,m,12833,5611
2021-02-24,NA,d,0,0
2021-02-24,NA,f,16,1
2021-02-24,NA,m,7,0
2021-02-25,0-9,d,0,0
2021-02-25,0-9,f,13,1
2021-02-25,0-9,m,3,2
2021-02-25,10-19,d,0,0
2021-02-25,10-19,f,240,40
2021-02-25,10-19,m,140,18
2021-02-25,20-29,d,1,0
2021-02-25,20-29,f,1923,603
2021-02-25,20-29,m,1144,305
2021-02-25,30-39,d,1,0
2021-02-25,30-39,f,3029,1100
2021-02-25,30-39,m,2046,743
2021-02-25,40-49,d,0,0
2021-02-25,40-49,f,3863,1166
2021-02-25,40-49,m,2579,827
2021-02-25,50-59,d,1,0
2021-02-25,50-59,f,6009,1523
2021-02-25,50-59,m,4160,1294
2021-02-25,60-69,d,2,1
2021-02-25,60-69,f,5198,1578
2021-02-25,60-69,m,4677,1792
2021-02-25,70-79,d,9,1
2021-02-25,70-79,f,9667,4173
2021-02-25,70-79,m,9209,4376
2021-02-25,80+,d,7,0
2021-02-25,80+,f,18816,6958
2021-02-25,80+,m,12940,6319
2021-02-25,NA,d,0,0
2021-02-25,NA,f,17,1
2021-02-25,NA,m,7,0
2021-02-26,0-9,d,0,0
2021-02-26,0-9,f,13,1
2021-02-26,0-9,m,3,2
2021-02-26,10-19,d,0,0
2021-02-26,10-19,f,252,52
2021-02-26,10-19,m,149,22
2021-02-26,20-29,d,1,0
2021-02-26,20-29,f,1969,660
2021-02-26,20-29,m,1177,330
2021-02-26,30-39,d,1,0
