date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-08,60-69,m,15433,125,0
2021-01-08,70-79,d,25,0,0
2021-01-08,70-79,f,25716,147,0
2021-01-08,70-79,m,22845,228,0
2021-01-08,80+,d,15,0,0
2021-01-08,80+,f,32638,413,0
2021-01-08,80+,m,22835,423,0
2021-01-08,NA,d,0,0,0
2021-01-08,NA,f,32,0,0
2021-01-08,NA,m,15,0,0
2021-01-09,0-9,d,0,0,0
2021-01-09,0-9,f,13,0,0
2021-01-09,0-9,m,4,0,0
2021-01-09,10-19,d,1,0,0
2021-01-09,10-19,f,662,2,0
2021-01-09,10-19,m,300,0,0
2021-01-09,20-29,d,1,0,0
2021-01-09,20-29,f,5401,12,0
2021-01-09,20-29,m,2745,14,0
2021-01-09,30-39,d,4,0,0
2021-01-09,30-39,f,7966,30,0
2021-01-09,30-39,m,5263,27,0
2021-01-09,40-49,d,8,0,0
2021-01-09,40-49,f,10285,46,0
2021-01-09,40-49,m,7102,45,0
2021-01-09,50-59,d,9,0,0
2021-01-09,50-59,f,15381,55,1
2021-01-09,50-59,m,12312,84,0
2021-01-09,60-69,d,13,0,0
2021-01-09,60-69,f,17226,93,1
2021-01-09,60-69,m,15433,138,0
2021-01-09,70-79,d,25,0,0
2021-01-09,70-79,f,25716,197,0
2021-01-09,70-79,m,22845,293,0
2021-01-09,80+,d,15,0,0
2021-01-09,80+,f,32638,453,0
2021-01-09,80+,m,22835,469,0
2021-01-09,NA,d,0,0,0
2021-01-09,NA,f,32,0,0
2021-01-09,NA,m,15,0,0
2021-01-10,0-9,d,0,0,0
2021-01-10,0-9,f,13,0,0
2021-01-10,0-9,m,4,0,0
2021-01-10,10-19,d,1,0,0
2021-01-10,10-19,f,662,2,0
2021-01-10,10-19,m,300,0,0
2021-01-10,20-29,d,1,0,0
2021-01-10,20-29,f,5401,12,0
2021-01-10,20-29,m,2745,14,0
2021-01-10,30-39,d,4,0,0
2021-01-10,30-39,f,7966,30,0
2021-01-10,30-39,m,5263,27,0
2021-01-10,40-49,d,8,0,0
2021-01-10,40-49,f,10285,46,0
2021-01-10,40-49,m,7102,45,0
2021-01-10,50-59,d,9,0,0
2021-01-10,50-59,f,15381,55,1
2021-01-10,50-59,m,12312,84,0
2021-01-10,60-69,d,13,0,0
2021-01-10,60-69,f,17226,93,1
2021-01-10,60-69,m,15433,138,0
2021-01-10,70-79,d,25,0,0
2021-01-10,70-79,f,25716,197,0
2021-01-10,70-79,m,22845,293,0
2021-01-10,80+,d,15,0,0
2021-01-10,80+,f,32638,453,0
2021-01-10,80+,m,22835,469,0
2021-01-10,NA,d,0,0,0
2021-01-10,NA,f,32,0,0
2021-01-10,NA,m,15,0,0
2021-01-11,0-9,d,0,0,0
2021-01-11,0-9,f,13,0,0
2021-01-11,0-9,m,4,0,0
2021-01-11,10-19,d,1,0,0
2021-01-11,10-19,f,662,3,0
2021-01-11,10-19,m,300,1,0
2021-01-11,20-29,d,1,0,0
2021-01-11,20-29,f,5401,16,0
2021-01-11,20-29,m,2745,17,0
2021-01-11,30-39,d,4,0,0
2021-01-11,30-39,f,7966,36,0
2021-01-11,30-39,m,5263,36,0
2021-01-11,40-49,d,8,0,0
2021-01-11,40-49,f,10285,63,0
2021-01-11,40-49,m,7102,54,0
2021-01-11,50-59,d,9,0,0
2021-01-11,50-59,f,15381,71,1
2021-01-11,50-59,m,12312,108,0
2021-01-11,60-69,d,13,0,0
2021-01-11,60-69,f,17226,124,1
2021-01-11,60-69,m,15433,184,0
