date,vaccgroup_zh,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-13,I,688,0,0
2021-01-13,K,692,0,0
2021-01-13,L,452,0,0
2021-01-13,M,1627,83,0
2021-01-13,N,970,40,0
2021-01-13,O,30,0,0
2021-01-13,P,0,0,0
2021-01-13,Q,0,0,0
2021-01-13,R,2,0,0
2021-01-13,S,0,0,0
2021-01-13,T,0,0,0
2021-01-13,NA,47,0,0
2021-01-14,A,85610,2805,0
2021-01-14,B,6615,453,0
2021-01-14,C,35915,584,1
2021-01-14,D,23388,18,0
2021-01-14,E,10886,21,0
2021-01-14,F,4399,589,0
2021-01-14,G,32324,44,1
2021-01-14,H,605,0,0
2021-01-14,I,688,0,0
2021-01-14,K,692,0,0
2021-01-14,L,452,0,0
2021-01-14,M,1627,95,0
2021-01-14,N,970,48,0
2021-01-14,O,30,0,0
2021-01-14,P,0,0,0
2021-01-14,Q,0,0,0
2021-01-14,R,2,0,0
2021-01-14,S,0,0,0
2021-01-14,T,0,0,0
2021-01-14,NA,47,0,0
2021-01-15,A,85610,3234,0
2021-01-15,B,6615,461,0
2021-01-15,C,35915,617,1
2021-01-15,D,23388,21,0
2021-01-15,E,10886,21,0
2021-01-15,F,4399,804,0
2021-01-15,G,32324,44,1
2021-01-15,H,605,0,0
2021-01-15,I,688,0,0
2021-01-15,K,692,0,0
2021-01-15,L,452,0,0
2021-01-15,M,1627,110,0
2021-01-15,N,970,54,0
2021-01-15,O,30,0,0
2021-01-15,P,0,0,0
2021-01-15,Q,0,0,0
2021-01-15,R,2,0,0
2021-01-15,S,0,0,0
2021-01-15,T,0,0,0
2021-01-15,NA,47,0,0
2021-01-16,A,85610,3243,0
2021-01-16,B,6615,465,0
2021-01-16,C,35915,627,1
2021-01-16,D,23388,23,0
2021-01-16,E,10886,23,0
2021-01-16,F,4399,1175,0
2021-01-16,G,32324,46,1
2021-01-16,H,605,0,0
2021-01-16,I,688,0,0
2021-01-16,K,692,0,0
2021-01-16,L,452,0,0
2021-01-16,M,1627,110,0
2021-01-16,N,970,54,0
2021-01-16,O,30,0,0
2021-01-16,P,0,0,0
2021-01-16,Q,0,0,0
2021-01-16,R,2,0,0
2021-01-16,S,0,0,0
2021-01-16,T,0,0,0
2021-01-16,NA,47,0,0
2021-01-17,A,85610,3243,0
2021-01-17,B,6615,465,0
2021-01-17,C,35915,628,1
2021-01-17,D,23388,23,0
2021-01-17,E,10886,23,0
2021-01-17,F,4399,1175,0
2021-01-17,G,32324,46,1
2021-01-17,H,605,0,0
2021-01-17,I,688,0,0
2021-01-17,K,692,0,0
2021-01-17,L,452,0,0
2021-01-17,M,1627,110,0
2021-01-17,N,970,54,0
2021-01-17,O,30,0,0
2021-01-17,P,0,0,0
2021-01-17,Q,0,0,0
2021-01-17,R,2,0,0
2021-01-17,S,0,0,0
2021-01-17,T,0,0,0
2021-01-17,NA,47,0,0
2021-01-18,A,85610,3811,0
2021-01-18,B,6615,545,0
2021-01-18,C,35915,753,1
2021-01-18,D,23388,33,0
2021-01-18,E,10886,26,0
2021-01-18,F,4399,1243,0
2021-01-18,G,32324,200,1
2021-01-18,H,605,0,0
2021-01-18,I,688,0,0
2021-01-18,K,692,0,0
2021-01-18,L,452,0,0
2021-01-18,M,1627,131,0
2021-01-18,N,970,65,0
2021-01-18,O,30,0,0
2021-01-18,P,0,0,0
2021-01-18,Q,0,0,0
2021-01-18,R,2,0,0
2021-01-18,S,0,0,0
2021-01-18,T,0,0,0
2021-01-18,NA,47,0,0
2021-01-19,A,85610,4946,0
2021-01-19,B,6615,700,0
2021-01-19,C,35915,1036,1
2021-01-19,D,23388,133,0
2021-01-19,E,10886,74,0
2021-01-19,F,4399,1389,0
2021-01-19,G,32324,769,1
2021-01-19,H,605,3,0
2021-01-19,I,688,5,0
2021-01-19,K,692,0,0
2021-01-19,L,452,0,0
2021-01-19,M,1627,148,0
2021-01-19,N,970,75,0
2021-01-19,O,30,0,0
2021-01-19,P,0,0,0
2021-01-19,Q,0,0,0
2021-01-19,R,2,0,0
2021-01-19,S,0,0,0
2021-01-19,T,0,0,0
2021-01-19,NA,47,1,0
2021-01-20,A,85610,7542,0
2021-01-20,B,6615,848,0
2021-01-20,C,35915,1611,1
2021-01-20,D,23388,390,0
2021-01-20,E,10886,194,0
2021-01-20,F,4399,1714,0
2021-01-20,G,32324,1506,1
2021-01-20,H,605,7,0
2021-01-20,I,688,7,0
2021-01-20,K,692,5,0
2021-01-20,L,452,2,0
2021-01-20,M,1627,187,0
2021-01-20,N,970,101,0
2021-01-20,O,30,0,0
2021-01-20,P,0,0,0
2021-01-20,Q,0,0,0
2021-01-20,R,2,0,0
2021-01-20,S,0,0,0
2021-01-20,T,0,0,0
2021-01-20,NA,47,1,0
2021-01-21,A,85610,10530,0
2021-01-21,B,6615,973,0
2021-01-21,C,35915,2221,1
2021-01-21,D,23388,666,0
2021-01-21,E,10886,314,0
2021-01-21,F,4399,1789,0
2021-01-21,G,32324,3041,1
2021-01-21,H,605,15,0
2021-01-21,I,688,16,0
2021-01-21,K,692,7,0
2021-01-21,L,452,2,0
2021-01-21,M,1627,225,0
2021-01-21,N,970,120,0
2021-01-21,O,30,0,0
2021-01-21,P,0,0,0
2021-01-21,Q,0,0,0
2021-01-21,R,2,0,0
2021-01-21,S,0,0,0
2021-01-21,T,0,0,0
2021-01-21,NA,47,1,0
2021-01-22,A,85610,12966,0
2021-01-22,B,6615,1057,0
2021-01-22,C,35915,2682,1
2021-01-22,D,23388,900,0
2021-01-22,E,10886,406,0
2021-01-22,F,4399,1894,0
2021-01-22,G,32324,4050,1
2021-01-22,H,605,24,0
2021-01-22,I,688,21,0
2021-01-22,K,692,10,0
2021-01-22,L,452,2,0
2021-01-22,M,1627,278,0
2021-01-22,N,970,138,0
2021-01-22,O,30,0,0
2021-01-22,P,0,0,0
2021-01-22,Q,0,0,0
2021-01-22,R,2,0,0
2021-01-22,S,0,0,0
2021-01-22,T,0,0,0
2021-01-22,NA,47,3,0
2021-01-23,A,85610,13683,0
2021-01-23,B,6615,1060,0
2021-01-23,C,35915,2809,1
2021-01-23,D,23388,1038,0
2021-01-23,E,10886,457,0
2021-01-23,F,4399,1895,0
2021-01-23,G,32324,4170,1
2021-01-23,H,605,31,0
2021-01-23,I,688,26,0
2021-01-23,K,692,10,0
2021-01-23,L,452,2,0
2021-01-23,M,1627,278,0
2021-01-23,N,970,138,0
2021-01-23,O,30,1,0
2021-01-23,P,0,0,0
2021-01-23,Q,0,0,0
2021-01-23,R,2,0,0
2021-01-23,S,0,0,0
2021-01-23,T,0,0,0
2021-01-23,NA,47,3,0
2021-01-24,A,85610,13701,0
2021-01-24,B,6615,1060,0
2021-01-24,C,35915,2812,1
2021-01-24,D,23388,1040,0
2021-01-24,E,10886,457,0
2021-01-24,F,4399,1896,0
2021-01-24,G,32324,4172,1
2021-01-24,H,605,31,0
2021-01-24,I,688,26,0
2021-01-24,K,692,10,0
2021-01-24,L,452,2,0
2021-01-24,M,1627,278,0
2021-01-24,N,970,138,0
2021-01-24,O,30,1,0
2021-01-24,P,0,0,0
2021-01-24,Q,0,0,0
2021-01-24,R,2,0,0
2021-01-24,S,0,0,0
2021-01-24,T,0,0,0
2021-01-24,NA,47,3,0
2021-01-25,A,85610,14975,1
2021-01-25,B,6615,1077,0
2021-01-25,C,35915,3079,2
2021-01-25,D,23388,1142,0
2021-01-25,E,10886,491,0
2021-01-25,F,4399,1910,0
2021-01-25,G,32324,4215,1
2021-01-25,H,605,31,0
2021-01-25,I,688,27,0
2021-01-25,K,692,10,0
2021-01-25,L,452,2,0
2021-01-25,M,1627,312,0
2021-01-25,N,970,156,0
2021-01-25,O,30,1,0
2021-01-25,P,0,0,0
2021-01-25,Q,0,0,0
2021-01-25,R,2,0,0
2021-01-25,S,0,0,0
2021-01-25,T,0,0,0
2021-01-25,NA,47,3,0
2021-01-26,A,85610,16971,78
2021-01-26,B,6615,1128,75
2021-01-26,C,35915,3489,60
2021-01-26,D,23388,1388,0
2021-01-26,E,10886,654,0
2021-01-26,F,4399,1921,1
2021-01-26,G,32324,4532,3
2021-01-26,H,605,42,0
2021-01-26,I,688,33,0
2021-01-26,K,692,18,0
2021-01-26,L,452,12,0
2021-01-26,M,1627,345,0
2021-01-26,N,970,163,0
2021-01-26,O,30,1,0
2021-01-26,P,0,0,0
2021-01-26,Q,0,0,0
2021-01-26,R,2,0,0
2021-01-26,S,0,0,0
2021-01-26,T,0,0,0
2021-01-26,NA,47,3,0
2021-01-27,A,85610,19804,146
2021-01-27,B,6615,1178,143
2021-01-27,C,35915,4180,109
2021-01-27,D,23388,1793,1
2021-01-27,E,10886,861,1
2021-01-27,F,4399,1936,3
